id;birthday;actual_salary;expected_salary;first_contact;location;mobile;disponibility
1;2024-03-04T11:58:31;25057;3517;2024-03-04T10:56:18;fooey;cool consequently;young gleefully measure
2;2024-03-04T09:30:59;15813;4366;2024-03-04T15:59:07;fault;summit;finally embarrassed jam
3;2024-03-04T21:24:21;14841;11430;2024-03-04T19:51:49;where pocket;unless;preview
4;2024-03-04T15:00:54;22637;8810;2024-03-04T16:28:42;gosh always;deliberately supposing wearily;swiftly
5;2024-03-04T09:45:19;24657;26083;2024-03-04T19:48:16;joyfully pfft;half made-up bump;traipse
6;2024-03-04T08:51:41;23259;30172;2024-03-04T08:09:07;spherical um;tour;and
7;2024-03-04T19:37:06;32377;7565;2024-03-03T23:28:29;yowza;bashfully;toward penicillin
8;2024-03-04T13:17:51;4413;11848;2024-03-04T21:30:24;cloves attendance lemur;hopelessly unimpressively after;a mid
9;2024-03-04T12:26:46;18627;21658;2024-03-04T14:15:35;actor wrench pfft;even;who section blowhole
10;2024-03-04T01:58:17;4917;23162;2024-03-04T12:09:13;till understanding condense;hence within as;trusty message club
